"X","Y"
244436.600676132,5928769.57392597
264436.600676132,5928769.57392597
284436.600676132,5928769.57392597
304436.600676132,5928769.57392597
224436.600676132,5948769.57392597
244436.600676132,5948769.57392597
264436.600676132,5948769.57392597
284436.600676132,5948769.57392597
304436.600676132,5948769.57392597
324436.600676132,5948769.57392597
344436.600676132,5948769.57392597
364436.600676132,5948769.57392597
204436.600676132,5968769.57392597
224436.600676132,5968769.57392597
244436.600676132,5968769.57392597
264436.600676132,5968769.57392597
284436.600676132,5968769.57392597
304436.600676132,5968769.57392597
324436.600676132,5968769.57392597
344436.600676132,5968769.57392597
364436.600676132,5968769.57392597
384436.600676132,5968769.57392597
404436.600676132,5968769.57392597
184436.600676132,5988769.57392597
204436.600676132,5988769.57392597
224436.600676132,5988769.57392597
244436.600676132,5988769.57392597
264436.600676132,5988769.57392597
284436.600676132,5988769.57392597
304436.600676132,5988769.57392597
324436.600676132,5988769.57392597
344436.600676132,5988769.57392597
364436.600676132,5988769.57392597
384436.600676132,5988769.57392597
404436.600676132,5988769.57392597
424436.600676132,5988769.57392597
444436.600676132,5988769.57392597
164436.600676132,6008769.57392597
184436.600676132,6008769.57392597
204436.600676132,6008769.57392597
224436.600676132,6008769.57392597
244436.600676132,6008769.57392597
264436.600676132,6008769.57392597
284436.600676132,6008769.57392597
304436.600676132,6008769.57392597
324436.600676132,6008769.57392597
344436.600676132,6008769.57392597
364436.600676132,6008769.57392597
384436.600676132,6008769.57392597
404436.600676132,6008769.57392597
424436.600676132,6008769.57392597
444436.600676132,6008769.57392597
464436.600676132,6008769.57392597
484436.600676132,6008769.57392597
504436.600676132,6008769.57392597
144436.600676132,6028769.57392597
164436.600676132,6028769.57392597
184436.600676132,6028769.57392597
204436.600676132,6028769.57392597
224436.600676132,6028769.57392597
244436.600676132,6028769.57392597
264436.600676132,6028769.57392597
284436.600676132,6028769.57392597
304436.600676132,6028769.57392597
324436.600676132,6028769.57392597
344436.600676132,6028769.57392597
364436.600676132,6028769.57392597
384436.600676132,6028769.57392597
404436.600676132,6028769.57392597
424436.600676132,6028769.57392597
444436.600676132,6028769.57392597
464436.600676132,6028769.57392597
484436.600676132,6028769.57392597
504436.600676132,6028769.57392597
524436.600676132,6028769.57392597
124436.600676132,6048769.57392597
144436.600676132,6048769.57392597
164436.600676132,6048769.57392597
184436.600676132,6048769.57392597
204436.600676132,6048769.57392597
224436.600676132,6048769.57392597
244436.600676132,6048769.57392597
264436.600676132,6048769.57392597
284436.600676132,6048769.57392597
304436.600676132,6048769.57392597
324436.600676132,6048769.57392597
344436.600676132,6048769.57392597
364436.600676132,6048769.57392597
384436.600676132,6048769.57392597
404436.600676132,6048769.57392597
424436.600676132,6048769.57392597
444436.600676132,6048769.57392597
464436.600676132,6048769.57392597
484436.600676132,6048769.57392597
504436.600676132,6048769.57392597
524436.600676132,6048769.57392597
544436.600676132,6048769.57392597
104436.600676132,6068769.57392597
124436.600676132,6068769.57392597
144436.600676132,6068769.57392597
164436.600676132,6068769.57392597
184436.600676132,6068769.57392597
204436.600676132,6068769.57392597
224436.600676132,6068769.57392597
244436.600676132,6068769.57392597
264436.600676132,6068769.57392597
284436.600676132,6068769.57392597
304436.600676132,6068769.57392597
324436.600676132,6068769.57392597
344436.600676132,6068769.57392597
364436.600676132,6068769.57392597
384436.600676132,6068769.57392597
404436.600676132,6068769.57392597
424436.600676132,6068769.57392597
444436.600676132,6068769.57392597
464436.600676132,6068769.57392597
484436.600676132,6068769.57392597
504436.600676132,6068769.57392597
524436.600676132,6068769.57392597
544436.600676132,6068769.57392597
564436.600676132,6068769.57392597
84436.6006761316,6088769.57392597
104436.600676132,6088769.57392597
124436.600676132,6088769.57392597
144436.600676132,6088769.57392597
164436.600676132,6088769.57392597
184436.600676132,6088769.57392597
204436.600676132,6088769.57392597
224436.600676132,6088769.57392597
244436.600676132,6088769.57392597
264436.600676132,6088769.57392597
284436.600676132,6088769.57392597
304436.600676132,6088769.57392597
324436.600676132,6088769.57392597
344436.600676132,6088769.57392597
364436.600676132,6088769.57392597
384436.600676132,6088769.57392597
404436.600676132,6088769.57392597
424436.600676132,6088769.57392597
444436.600676132,6088769.57392597
464436.600676132,6088769.57392597
484436.600676132,6088769.57392597
504436.600676132,6088769.57392597
524436.600676132,6088769.57392597
544436.600676132,6088769.57392597
564436.600676132,6088769.57392597
584436.600676132,6088769.57392597
604436.600676132,6088769.57392597
84436.6006761316,6108769.57392597
104436.600676132,6108769.57392597
124436.600676132,6108769.57392597
144436.600676132,6108769.57392597
164436.600676132,6108769.57392597
184436.600676132,6108769.57392597
204436.600676132,6108769.57392597
224436.600676132,6108769.57392597
244436.600676132,6108769.57392597
264436.600676132,6108769.57392597
284436.600676132,6108769.57392597
304436.600676132,6108769.57392597
324436.600676132,6108769.57392597
344436.600676132,6108769.57392597
364436.600676132,6108769.57392597
384436.600676132,6108769.57392597
404436.600676132,6108769.57392597
424436.600676132,6108769.57392597
444436.600676132,6108769.57392597
464436.600676132,6108769.57392597
484436.600676132,6108769.57392597
504436.600676132,6108769.57392597
524436.600676132,6108769.57392597
544436.600676132,6108769.57392597
564436.600676132,6108769.57392597
584436.600676132,6108769.57392597
604436.600676132,6108769.57392597
624436.600676132,6108769.57392597
64436.6006761316,6128769.57392597
84436.6006761316,6128769.57392597
104436.600676132,6128769.57392597
124436.600676132,6128769.57392597
144436.600676132,6128769.57392597
164436.600676132,6128769.57392597
184436.600676132,6128769.57392597
204436.600676132,6128769.57392597
224436.600676132,6128769.57392597
244436.600676132,6128769.57392597
264436.600676132,6128769.57392597
284436.600676132,6128769.57392597
304436.600676132,6128769.57392597
324436.600676132,6128769.57392597
344436.600676132,6128769.57392597
364436.600676132,6128769.57392597
384436.600676132,6128769.57392597
404436.600676132,6128769.57392597
424436.600676132,6128769.57392597
444436.600676132,6128769.57392597
464436.600676132,6128769.57392597
484436.600676132,6128769.57392597
504436.600676132,6128769.57392597
524436.600676132,6128769.57392597
544436.600676132,6128769.57392597
564436.600676132,6128769.57392597
584436.600676132,6128769.57392597
604436.600676132,6128769.57392597
624436.600676132,6128769.57392597
644436.600676132,6128769.57392597
44436.6006761316,6148769.57392597
64436.6006761316,6148769.57392597
84436.6006761316,6148769.57392597
104436.600676132,6148769.57392597
124436.600676132,6148769.57392597
144436.600676132,6148769.57392597
164436.600676132,6148769.57392597
184436.600676132,6148769.57392597
204436.600676132,6148769.57392597
224436.600676132,6148769.57392597
244436.600676132,6148769.57392597
264436.600676132,6148769.57392597
284436.600676132,6148769.57392597
304436.600676132,6148769.57392597
324436.600676132,6148769.57392597
344436.600676132,6148769.57392597
364436.600676132,6148769.57392597
384436.600676132,6148769.57392597
404436.600676132,6148769.57392597
424436.600676132,6148769.57392597
444436.600676132,6148769.57392597
464436.600676132,6148769.57392597
484436.600676132,6148769.57392597
504436.600676132,6148769.57392597
524436.600676132,6148769.57392597
544436.600676132,6148769.57392597
564436.600676132,6148769.57392597
584436.600676132,6148769.57392597
604436.600676132,6148769.57392597
624436.600676132,6148769.57392597
644436.600676132,6148769.57392597
664436.600676132,6148769.57392597
24436.6006761316,6168769.57392597
44436.6006761316,6168769.57392597
64436.6006761316,6168769.57392597
84436.6006761316,6168769.57392597
104436.600676132,6168769.57392597
124436.600676132,6168769.57392597
144436.600676132,6168769.57392597
164436.600676132,6168769.57392597
184436.600676132,6168769.57392597
204436.600676132,6168769.57392597
224436.600676132,6168769.57392597
244436.600676132,6168769.57392597
264436.600676132,6168769.57392597
284436.600676132,6168769.57392597
304436.600676132,6168769.57392597
324436.600676132,6168769.57392597
344436.600676132,6168769.57392597
364436.600676132,6168769.57392597
384436.600676132,6168769.57392597
404436.600676132,6168769.57392597
424436.600676132,6168769.57392597
444436.600676132,6168769.57392597
464436.600676132,6168769.57392597
484436.600676132,6168769.57392597
504436.600676132,6168769.57392597
524436.600676132,6168769.57392597
544436.600676132,6168769.57392597
564436.600676132,6168769.57392597
584436.600676132,6168769.57392597
604436.600676132,6168769.57392597
624436.600676132,6168769.57392597
644436.600676132,6168769.57392597
664436.600676132,6168769.57392597
684436.600676132,6168769.57392597
4436.60067613155,6188769.57392597
24436.6006761316,6188769.57392597
44436.6006761316,6188769.57392597
64436.6006761316,6188769.57392597
84436.6006761316,6188769.57392597
104436.600676132,6188769.57392597
124436.600676132,6188769.57392597
144436.600676132,6188769.57392597
164436.600676132,6188769.57392597
184436.600676132,6188769.57392597
204436.600676132,6188769.57392597
224436.600676132,6188769.57392597
244436.600676132,6188769.57392597
264436.600676132,6188769.57392597
284436.600676132,6188769.57392597
304436.600676132,6188769.57392597
324436.600676132,6188769.57392597
344436.600676132,6188769.57392597
364436.600676132,6188769.57392597
384436.600676132,6188769.57392597
404436.600676132,6188769.57392597
424436.600676132,6188769.57392597
444436.600676132,6188769.57392597
464436.600676132,6188769.57392597
484436.600676132,6188769.57392597
504436.600676132,6188769.57392597
524436.600676132,6188769.57392597
544436.600676132,6188769.57392597
564436.600676132,6188769.57392597
584436.600676132,6188769.57392597
604436.600676132,6188769.57392597
624436.600676132,6188769.57392597
644436.600676132,6188769.57392597
664436.600676132,6188769.57392597
684436.600676132,6188769.57392597
704436.600676132,6188769.57392597
724436.600676132,6188769.57392597
4436.60067613155,6208769.57392597
24436.6006761316,6208769.57392597
44436.6006761316,6208769.57392597
64436.6006761316,6208769.57392597
84436.6006761316,6208769.57392597
104436.600676132,6208769.57392597
124436.600676132,6208769.57392597
144436.600676132,6208769.57392597
164436.600676132,6208769.57392597
184436.600676132,6208769.57392597
204436.600676132,6208769.57392597
224436.600676132,6208769.57392597
244436.600676132,6208769.57392597
264436.600676132,6208769.57392597
284436.600676132,6208769.57392597
304436.600676132,6208769.57392597
324436.600676132,6208769.57392597
344436.600676132,6208769.57392597
364436.600676132,6208769.57392597
384436.600676132,6208769.57392597
404436.600676132,6208769.57392597
424436.600676132,6208769.57392597
444436.600676132,6208769.57392597
464436.600676132,6208769.57392597
484436.600676132,6208769.57392597
504436.600676132,6208769.57392597
524436.600676132,6208769.57392597
544436.600676132,6208769.57392597
564436.600676132,6208769.57392597
584436.600676132,6208769.57392597
604436.600676132,6208769.57392597
624436.600676132,6208769.57392597
644436.600676132,6208769.57392597
664436.600676132,6208769.57392597
684436.600676132,6208769.57392597
704436.600676132,6208769.57392597
724436.600676132,6208769.57392597
744436.600676132,6208769.57392597
4436.60067613155,6228769.57392597
24436.6006761316,6228769.57392597
44436.6006761316,6228769.57392597
64436.6006761316,6228769.57392597
84436.6006761316,6228769.57392597
104436.600676132,6228769.57392597
124436.600676132,6228769.57392597
144436.600676132,6228769.57392597
164436.600676132,6228769.57392597
184436.600676132,6228769.57392597
204436.600676132,6228769.57392597
224436.600676132,6228769.57392597
244436.600676132,6228769.57392597
264436.600676132,6228769.57392597
284436.600676132,6228769.57392597
304436.600676132,6228769.57392597
324436.600676132,6228769.57392597
344436.600676132,6228769.57392597
364436.600676132,6228769.57392597
384436.600676132,6228769.57392597
404436.600676132,6228769.57392597
424436.600676132,6228769.57392597
444436.600676132,6228769.57392597
464436.600676132,6228769.57392597
484436.600676132,6228769.57392597
504436.600676132,6228769.57392597
524436.600676132,6228769.57392597
544436.600676132,6228769.57392597
564436.600676132,6228769.57392597
584436.600676132,6228769.57392597
604436.600676132,6228769.57392597
624436.600676132,6228769.57392597
644436.600676132,6228769.57392597
664436.600676132,6228769.57392597
684436.600676132,6228769.57392597
704436.600676132,6228769.57392597
724436.600676132,6228769.57392597
744436.600676132,6228769.57392597
764436.600676132,6228769.57392597
-15563.3993238684,6248769.57392597
4436.60067613155,6248769.57392597
24436.6006761316,6248769.57392597
44436.6006761316,6248769.57392597
64436.6006761316,6248769.57392597
84436.6006761316,6248769.57392597
104436.600676132,6248769.57392597
124436.600676132,6248769.57392597
144436.600676132,6248769.57392597
164436.600676132,6248769.57392597
184436.600676132,6248769.57392597
204436.600676132,6248769.57392597
224436.600676132,6248769.57392597
244436.600676132,6248769.57392597
264436.600676132,6248769.57392597
284436.600676132,6248769.57392597
304436.600676132,6248769.57392597
324436.600676132,6248769.57392597
344436.600676132,6248769.57392597
364436.600676132,6248769.57392597
384436.600676132,6248769.57392597
404436.600676132,6248769.57392597
424436.600676132,6248769.57392597
444436.600676132,6248769.57392597
464436.600676132,6248769.57392597
484436.600676132,6248769.57392597
504436.600676132,6248769.57392597
524436.600676132,6248769.57392597
544436.600676132,6248769.57392597
564436.600676132,6248769.57392597
584436.600676132,6248769.57392597
604436.600676132,6248769.57392597
624436.600676132,6248769.57392597
644436.600676132,6248769.57392597
664436.600676132,6248769.57392597
684436.600676132,6248769.57392597
704436.600676132,6248769.57392597
724436.600676132,6248769.57392597
744436.600676132,6248769.57392597
764436.600676132,6248769.57392597
784436.600676132,6248769.57392597
-15563.3993238684,6268769.57392597
4436.60067613155,6268769.57392597
24436.6006761316,6268769.57392597
44436.6006761316,6268769.57392597
64436.6006761316,6268769.57392597
84436.6006761316,6268769.57392597
104436.600676132,6268769.57392597
124436.600676132,6268769.57392597
144436.600676132,6268769.57392597
164436.600676132,6268769.57392597
184436.600676132,6268769.57392597
204436.600676132,6268769.57392597
224436.600676132,6268769.57392597
244436.600676132,6268769.57392597
264436.600676132,6268769.57392597
284436.600676132,6268769.57392597
304436.600676132,6268769.57392597
324436.600676132,6268769.57392597
344436.600676132,6268769.57392597
364436.600676132,6268769.57392597
384436.600676132,6268769.57392597
404436.600676132,6268769.57392597
424436.600676132,6268769.57392597
444436.600676132,6268769.57392597
464436.600676132,6268769.57392597
484436.600676132,6268769.57392597
504436.600676132,6268769.57392597
524436.600676132,6268769.57392597
544436.600676132,6268769.57392597
564436.600676132,6268769.57392597
584436.600676132,6268769.57392597
604436.600676132,6268769.57392597
624436.600676132,6268769.57392597
644436.600676132,6268769.57392597
664436.600676132,6268769.57392597
684436.600676132,6268769.57392597
704436.600676132,6268769.57392597
724436.600676132,6268769.57392597
744436.600676132,6268769.57392597
764436.600676132,6268769.57392597
784436.600676132,6268769.57392597
804436.600676132,6268769.57392597
-15563.3993238684,6288769.57392597
4436.60067613155,6288769.57392597
24436.6006761316,6288769.57392597
44436.6006761316,6288769.57392597
64436.6006761316,6288769.57392597
84436.6006761316,6288769.57392597
104436.600676132,6288769.57392597
124436.600676132,6288769.57392597
144436.600676132,6288769.57392597
164436.600676132,6288769.57392597
184436.600676132,6288769.57392597
204436.600676132,6288769.57392597
224436.600676132,6288769.57392597
244436.600676132,6288769.57392597
264436.600676132,6288769.57392597
284436.600676132,6288769.57392597
304436.600676132,6288769.57392597
324436.600676132,6288769.57392597
344436.600676132,6288769.57392597
364436.600676132,6288769.57392597
384436.600676132,6288769.57392597
404436.600676132,6288769.57392597
424436.600676132,6288769.57392597
444436.600676132,6288769.57392597
464436.600676132,6288769.57392597
484436.600676132,6288769.57392597
504436.600676132,6288769.57392597
524436.600676132,6288769.57392597
544436.600676132,6288769.57392597
564436.600676132,6288769.57392597
584436.600676132,6288769.57392597
604436.600676132,6288769.57392597
624436.600676132,6288769.57392597
644436.600676132,6288769.57392597
664436.600676132,6288769.57392597
684436.600676132,6288769.57392597
704436.600676132,6288769.57392597
724436.600676132,6288769.57392597
744436.600676132,6288769.57392597
764436.600676132,6288769.57392597
784436.600676132,6288769.57392597
804436.600676132,6288769.57392597
-15563.3993238684,6308769.57392597
4436.60067613155,6308769.57392597
24436.6006761316,6308769.57392597
44436.6006761316,6308769.57392597
64436.6006761316,6308769.57392597
84436.6006761316,6308769.57392597
104436.600676132,6308769.57392597
124436.600676132,6308769.57392597
144436.600676132,6308769.57392597
164436.600676132,6308769.57392597
184436.600676132,6308769.57392597
204436.600676132,6308769.57392597
224436.600676132,6308769.57392597
244436.600676132,6308769.57392597
264436.600676132,6308769.57392597
284436.600676132,6308769.57392597
304436.600676132,6308769.57392597
324436.600676132,6308769.57392597
344436.600676132,6308769.57392597
364436.600676132,6308769.57392597
384436.600676132,6308769.57392597
404436.600676132,6308769.57392597
424436.600676132,6308769.57392597
444436.600676132,6308769.57392597
464436.600676132,6308769.57392597
484436.600676132,6308769.57392597
504436.600676132,6308769.57392597
524436.600676132,6308769.57392597
544436.600676132,6308769.57392597
564436.600676132,6308769.57392597
584436.600676132,6308769.57392597
604436.600676132,6308769.57392597
624436.600676132,6308769.57392597
644436.600676132,6308769.57392597
664436.600676132,6308769.57392597
684436.600676132,6308769.57392597
704436.600676132,6308769.57392597
724436.600676132,6308769.57392597
744436.600676132,6308769.57392597
764436.600676132,6308769.57392597
784436.600676132,6308769.57392597
804436.600676132,6308769.57392597
824436.600676132,6308769.57392597
-15563.3993238684,6328769.57392597
